Key,English,Ukrainian
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,Золотий королівський стіл
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,Золотий королівський туалетний столик
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,Золота королівська гардеробна
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,Золотий королівський диван
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,Золоте королівське ліжко
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,Золота королівська шухляда
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,Золота королівська книжкова полиця
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,Золота королівська парта
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,Золота королівська ванна
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,Алхімічна парта
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,Піч
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,Столярська робоча площа
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,Кузнярська робоча площа
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,Дорогоцінний порошок
PRODUCTION_RECIPE_NAME_MARBLE,Marble,Мармур
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,Кристал
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,Полірований бірюзовий
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,Бронза
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,Малахіт
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,Полірований нефрит
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,Полірована срібло
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,Полірозне золото
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,Полірована платина
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,Полірований діамант
PRODUCTION_RECIPE_NAME_GLASS,Glass,Скло
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,Штучна перлина
PRODUCTION_RECIPE_NAME_FLASK,Flask,Колба
PRODUCTION_RECIPE_NAME_HINGE,Hinge,Петля
PRODUCTION_RECIPE_NAME_SPRING,Spring,Пружина
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,Золота сфера
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,Дорогоцінна струна
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,Срібна робота
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,Золота робота
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,Обертаний глобус
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,Люстра
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,Дзеркало
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,Срібна робота атаки
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,Срібна робота захисту
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,Золота робота атаки
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,Золота робот�� магічної атаки
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,Золота робота захисту
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,Золота робота магічного опору
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,Обрізний нефрит вогняної атаки
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,Обрізний нефрит водяної атаки
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,Обрізний нефрит вітряної атаки
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,Обрізний нефрит земної атаки
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,Обрізний нефрит блискавичної атаки
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,Обрізний нефрит вогняного захисту
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,Обрізний нефрит водяного захисту
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,Обрізний нефрит вітряного захисту
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,Обрізний нефрит земного захисту
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,Обрізний нефрит блискавичного захисту
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,Перстень бадьорості
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,Перстень витривалості
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,Перстень Арека
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,Перстень інтелекту
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,Сережка пробка
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,Сережка Демол
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,Намисто Гор
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,Розумове намисто
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,Намисто Пейшн
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,Майтір
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,Пенцеру
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,Спідо
PRODUCTION_RECIPE_NAME_PEP,Pep,Пеп
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,Сокл
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,Ендукі
PRODUCTION_RECIPE_NAME_STRENTE,Strente,Стрент
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,Інтірет
PRODUCTION_RECIPE_NAME_DEXION,Dexion,Деклсіон
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted silver ring,Ручна срібна каблучка
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted gold ring,Ручна золота каблучка
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted platinum ring,Ручна платинова каблучка
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted diamond ring,Ручна діамантова каблучка
